console_display,full_title,total_search_results,tune_title,tune_slug,composer,meter,incipit,key,place_of_origin,copyright,num_hymnals,midi_url,recording_url,pdf_url,hymnary_url
Eternal FatherSav,"Eternal Father, Strong to Save",10,ABBOT'S LEIGH,abbots_leigh_taylor,Cyril Taylor (1941),8.7.8.7 D,53111 76655 34565,C Major,England,© 1942. Renewal 1970 by Hope Publishing Company,179,https://hymnary.org/media/fetch/104940,https://hymnary.org/media/fetch/199362,,https://hymnary.org/tune/abbots_leigh_taylor
Eternal FatherSav,"Eternal Father, Strong to Save",10,NYLAND,nyland_finnish,,7.6.7.6.7.6.7.6,53212 16555 65435,E♭ Major/E Major,,Public Domain,88,https://hymnary.org/media/fetch/98943,https://hymnary.org/media/fetch/205286,https://hymnary.org/media/fetch/96017,https://hymnary.org/tune/nyland_finnish
Fairest Lord Jesus,Fairest Lord Jesus,10,ST. CATHERINE (Hemy),st_catherine_hemy,J. G. Walton,8.8.8.8.8.8,32117 12671 17651,A♭ Major,,Public Domain,828,https://hymnary.org/media/fetch/80362,https://hymnary.org/media/fetch/222485,https://hymnary.org/media/fetch/80363,https://hymnary.org/tune/st_catherine_hemy
Fairest Lord Jesus,Fairest Lord Jesus,10,ST. THEODULPH (Teschner),st_theodulph_teschner,Melchior Teschner (1613),7.6.7.6 D,15567 11321 17151,B♭ Major/C Major,,Public Domain,661,https://hymnary.org/media/fetch/80070,https://hymnary.org/media/fetch/222218,https://hymnary.org/media/fetch/80071,https://hymnary.org/tune/st_theodulph_teschner
Fairest Lord Jesus,Fairest Lord Jesus,10,CRUSADERS' HYMN (111271),crusaders_hymn_111271,,5.6.8.5.5.8,11127 13333 42351,D Major,Germany,Public Domain,596,https://hymnary.org/media/fetch/80098,https://hymnary.org/media/fetch/222366,https://hymnary.org/media/fetch/80099,https://hymnary.org/tune/crusaders_hymn_111271
Fairest Lord Jesus,Fairest Lord Jesus,10,SALVATIONIST (HAYS),salvationist_hays,William S. Hays (1871),Irregular,13556 55312 11651,F Major,,Public Domain,289,https://hymnary.org/media/fetch/81148,https://hymnary.org/media/fetch/221424,https://hymnary.org/media/fetch/81149,https://hymnary.org/tune/salvationist_hays
Fairest Lord Jesus,Fairest Lord Jesus,10,[Who can cheer the heart like Jesus],who_can_cheer_the_heart_like_harris,Thoro Harris (1917),8.7.8.7 with refrain,55653 56176 56721,A♭ Major,,Public Domain,63,https://hymnary.org/media/fetch/202046,,https://hymnary.org/media/fetch/229214,https://hymnary.org/tune/who_can_cheer_the_heart_like_harris
FaithOur Fathers,Faith of Our Fathers,10,ST. CATHERINE (Hemy),st_catherine_hemy,J. G. Walton,8.8.8.8.8.8,32117 12671 17651,A♭ Major,,Public Domain,828,https://hymnary.org/media/fetch/80362,https://hymnary.org/media/fetch/222485,https://hymnary.org/media/fetch/80363,https://hymnary.org/tune/st_catherine_hemy
FaithOur Fathers,Faith of Our Fathers,10,EIN FESTE BURG,ein_feste_burg_luther,Martin Luther (1529),8.7.8.7.6.6.6.6.7,11156 71765 17656,C Major/D Major,Germany,Public Domain,743,https://hymnary.org/media/fetch/80063,https://hymnary.org/media/fetch/222239,https://hymnary.org/media/fetch/80064,https://hymnary.org/tune/ein_feste_burg_luther
FaithOur Fathers,Faith of Our Fathers,10,CANONBURY,canonbury_schumann,Robert Schumann (1839),8.8.8.8,53334 32123 56712,G Major,Germany,Public Domain,674,https://hymnary.org/media/fetch/80705,https://hymnary.org/media/fetch/222180,https://hymnary.org/media/fetch/80706,https://hymnary.org/tune/canonbury_schumann
FaithOur Fathers,Faith of Our Fathers,10,WINCHESTER NEW,winchester_new_musikalisches,,8.8.8.8,51566 54334 32554,A Major/B♭ Major,,Public Domain,435,https://hymnary.org/media/fetch/81856,https://hymnary.org/media/fetch/222544,https://hymnary.org/media/fetch/81857,https://hymnary.org/tune/winchester_new_musikalisches
FaithOur Fathers,Faith of Our Fathers,10,AR HYD Y NOS,ar_hyd_y_nos_welsh,,8.4.8.4.8.8.8.4,17612 17567 71176,A♭ Major,Wales,Public Domain,323,https://hymnary.org/media/fetch/81288,https://hymnary.org/media/fetch/222829,https://hymnary.org/media/fetch/81289,https://hymnary.org/tune/ar_hyd_y_nos_welsh
FightGoodFight,Fight the Good Fight,10,EIN FESTE BURG,ein_feste_burg_luther,Martin Luther (1529),8.7.8.7.6.6.6.6.7,11156 71765 17656,C Major/D Major,Germany,Public Domain,743,https://hymnary.org/media/fetch/80063,https://hymnary.org/media/fetch/222239,https://hymnary.org/media/fetch/80064,https://hymnary.org/tune/ein_feste_burg_luther
FightGoodFight,Fight the Good Fight,10,MENDON (17151),mendon_german,,8.8.8.8,17151 71213 16212,A Major,,Public Domain,381,https://hymnary.org/media/fetch/80775,https://hymnary.org/media/fetch/221180,https://hymnary.org/media/fetch/80776,https://hymnary.org/tune/mendon_german
FightGoodFight,Fight the Good Fight,10,PENTECOST (Boyd),pentecost_boyd,William Boyd (1868),8.8.8.8,33333 21433 33221,G Major,,Public Domain,363,https://hymnary.org/media/fetch/80989,https://hymnary.org/media/fetch/221638,https://hymnary.org/media/fetch/80990,https://hymnary.org/tune/pentecost_boyd
